"state","year","freq","state_code","mean_dur"
"illinois",1982,3,"IL",1944150
"illinois",1983,2,"IL",1296090
"illinois",1984,3,"IL",1360
"illinois",1985,2,"IL",1296150
"illinois",1986,1,"IL",864000
"illinois",1987,5,"IL",675
"illinois",1988,4,"IL",742.5
"illinois",1989,4,"IL",175
"illinois",1990,2,"IL",4500
"illinois",1992,4,"IL",720220
"illinois",1994,1,"IL",900
"illinois",1995,2,"IL",1200
"illinois",1996,6,"IL",199.5
"illinois",1997,6,"IL",144410
"illinois",1998,6,"IL",382.5
"illinois",1999,8,"IL",62545.7142857143
"illinois",2000,8,"IL",540281.25
"illinois",2001,7,"IL",234
"illinois",2002,10,"IL",1512405.83333333
"illinois",2003,2,"IL",180
"illinois",2004,12,"IL",481036.666666667
"illinois",2005,15,"IL",432385.384615385
"illinois",2006,105,"IL",489039.203125
"illinois",2007,164,"IL",308305.138157895
"illinois",2008,153,"IL",517634.277777778
"illinois",2009,135,"IL",376072.596638655
"illinois",2010,197,"IL",475714.16
"illinois",2011,204,"IL",259236.702631579
"illinois",2012,258,"IL",363438.164556962
"illinois",2013,168,"IL",511710.6
"illinois",2014,163,"IL",530405.510204082
"illinois",2015,175,"IL",402615.906040268
"illinois",2016,148,"IL",415875.447761194
"illinois",2017,85,"IL",502692.692307692
"illinois",2018,99,"IL",293630.649350649
"illinois",2019,151,"IL",400238.534482759
"illinois",2020,155,"IL",332687.654867257
"illinois",2021,8,"IL",216540
"illinois",NA,21,"IL",155635
"indiana",1940,1,"IN",1800
"indiana",1948,1,"IN",NA
"indiana",1953,1,"IN",1800
"indiana",1954,1,"IN",604800
"indiana",1957,2,"IN",3600
"indiana",1960,1,"IN",300
"indiana",1961,1,"IN",2592000
"indiana",1963,1,"IN",300
"indiana",1966,4,"IN",648465
"indiana",1969,1,"IN",1200
"indiana",1970,5,"IN",3888900
"indiana",1971,2,"IN",960
"indiana",1972,2,"IN",649800
"indiana",1973,4,"IN",1575
"indiana",1974,2,"IN",217350
"indiana",1975,3,"IN",3840
"indiana",1976,1,"IN",300
"indiana",1977,3,"IN",1298475
"indiana",1978,1,"IN",900
"indiana",1980,3,"IN",2640
"indiana",1981,2,"IN",259350
"indiana",1982,2,"IN",60
